INJECTOR,PRODUCER,ALLOCATION,TAU,TAUP,PRODUCTIVITY,Lo,MODEL,ID,R2,SUBZONE,SIMULATION
BG-1768I,BG-0234P,0.7822893743275385,9.01939915569347,9.146968039952483,0.0,1.0,CRMPConstrained,0,0.9547670522808678,LW,xx1
BG-1581I,BG-0873ST1P,0.6455976868970178,13.81892786047385,14.237464213070666,0.0,1.0,CRMPConstrained,0,0.9800969311731633,LW,xx1
BG-1204I,BG-1054P,0.7887147886054443,13.801168136062723,13.451382326869577,0.0,0.996756854262721,CRMPConstrained,0,0.9838128335545162,LW,xx1
BG-1206I,BG-1054P,0.5601882696239242,13.801168136062723,13.451382326869577,0.0,0.996756854262721,CRMPConstrained,1,0.9838128335545162,LW,xx1
BG-0711I,BG-1447P,0.5094621157086395,13.00888926368273,12.658817675662089,0.0,0.9999999999999968,CRMPConstrained,0,0.9864206897426313,LW,xx1
BG-1491I,BG-1490P,0.6910485973702407,15.809169979363636,17.549965339650516,0.0,0.9654787529153077,CRMPConstrained,0,0.840064448160724,LW,xx1
BG-1521I,MG-0401P,0.6816544850364018,12.122930829317763,13.0484975639989,7.660258503336326e-15,0.9786100774461909,CRMPConstrained,0,0.969174502791248,LW,xx1
MG-0402I,MG-0401P,0.5882793608820249,12.122930829317763,13.0484975639989,7.660258503336326e-15,0.9786100774461909,CRMPConstrained,1,0.969174502791248,LW,xx1
